Station,LineGroup,Line
Padstow Station,T8,Airport & South Line
Panania Station,T8,Airport & South Line
#Parramatta Station,T1,North Shore Line
#Parramatta Station,T1,Western Line
#Parramatta Station,T2,Inner-West Line
#Parramatta Station,BMT,Blue Mountains Line
Parramatta Station,T5,Cumberland Line
Paterson Station,HUN,Hunter Line
#Pendle Hill Station,T1,Western Line
Pendle Hill Station,T5,Cumberland Line
Pennant Hills Station,T9,Northern Line
Penrith Station,T1,Western Line
#Penrith Station,BMT,Blue Mountains Line
Penrose Station,SHL,Southern Highland Line
Penshurst Station,T4,Eastern Suburbs & Illawarra Line
Petersham Station,T2,Inner-West Line
Picton Station,SHL,Southern Highland Line
Point Clare Station,CCN,Central Coast & Newcastle Line
Port Kembla Station,SCO,South Coast Line
Port Kembla North Station,SCO,South Coast Line
Punchbowl Station,T3,Bankstown Line
Pymble Station,T1,North Shore Line
#Quakers Hill Station,T1,Western Line
Quakers Hill Station,T5,Cumberland Line
Redfern Station,CYC,City Circle
#Redfern Station,T1,North Shore Line
#Redfern Station,T1,Western Line
#Redfern Station,T2,Inner-West Line
#Redfern Station,T3,Bankstown Line
#Redfern Station,T4,Eastern Suburbs & Illawarra Line
#Redfern Station,T6,Carlingford Line
#Redfern Station,T8,Airport & South Line
#Redfern Station,T9,Northern Line
#Redfern Station,CCN,Central Coast & Newcastle Line
#Redfern Station,SCO,South Coast Line
Regents Park Station,T3,Bankstown Line
Revesby Station,T8,Airport & South Line
Rhodes Station,T9,Northern Line
#Richmond Station,T1,Western Line
Richmond Station,T5,Cumberland Line
#Riverstone Station,T1,Western Line
Riverstone Station,T5,Cumberland Line
Riverwood Station,T8,Airport & South Line
Rockdale Station,T4,Eastern Suburbs & Illawarra Line
Rooty Hill Station,T1,Western Line
Rosehill Station,T6,Carlingford Line
#Roseville Station,T1,North Shore Line
Roseville Station,T9,Northern Line
Rydalmere Station,T6,Carlingford Line
Sandgate Station,HUN,Hunter Line
Scarborough Station,SCO,South Coast Line
#Schofields Station,T1,Western Line
Schofields Station,T5,Cumberland Line
Scone Station,HUN,Hunter Line
